Akustyka i elektroakustyka;2L;lic. Maciej Michaluk;3;zst;zst;1;1;1;1;2;I;KiTM;czwartek, 13:50-14:35, sala 001E;
Analiza i interpretacja dzieła muzycznego 1;1L;prof. dr hab. Anna Granat-Janki;5;zst;egz;2;2;2;2;4;I;KiTM;czwartek, 10:00-11:30, sala 202B;
Analiza i interpretacja dzieła muzycznego 2;2L;prof. dr hab. Anna Granat-Janki;5;zst;egz;2;2;2;2;4;I;KiTM;czwartek, 12:00-13:30, sala 202B;"Kontynuacja ""Analizy i interpretacji dzieła muzycznego 1"""
Analiza współczesnego dzieła muzycznego;1M;dr hab. Paweł Hendrich;0;zal;zst;2;2;2;2;4;I;KiTM;wtorek, 14:10-15:40, sala 005D;
Audiacja, projektowanie i przestrzenna dystrybucja dźwięku;2M;dr hab. Paweł Hendrich;1;zst;egz;1;1;1;1;2;I;KiTM;wtorek, 16:15-17:45, sala 112 SKK, realizacja w podwójnym wymiarze godzin w ustalonych przez prowadzącego terminach;"Wymagania wstępne: ukończony kurs ""Propedeutyka kompozycji komputerowej"" i ""Komputer w pracy twórczej"" lub wiedza i umiejętności adekwatne do poziomu zaliczenia tych kursów"
Edytorstwo muzyczne poziom 1;1L;dr Grzegorz Wierzba;2;zal;zst;1;1;1;1;2;I;;środa, 14:00-14:45, sala 404B;
Edytorstwo muzyczne poziom 2;2L;dr Grzegorz Wierzba;2;zal;zst;1;1;1;1;2;I;;wtorek, 11:20-12:05, sala 404B;Ukończony kurs Edytorstwa muzycznego poziom 1 lub znajomość przynajmniej jednego z profesjonalnych programów do edycji nut w stopniu podstawowym.
Estetyka muzyki;1M;mgr Jan Bielak;2;zal;zst;2;2;2;2;4;I;KiTM;poniedziałek, 13:40-15:10, sala 301B;
Etnomuzykologia 1;1M;dr Agnieszka Zwierzycka;5;zal;zst;1;1;1;1;2;I;KiTM;czwartek, 16:25-17:55, sala 001F, co dwa tygodnie;
Etnomuzykologia 2;2M;dr Agnieszka Zwierzycka;5;zal;zst;1;1;1;1;2;I;KiTM;czwartek, 16:25-17:55, sala 001F, co dwa tygodnie;
Formy muzyczne;1L;mgr Aleksandra Ferenc;5;zst;zst;2;2;2;2;4;I;KiTM;wtorek, 12:00-13:30, sala 301B;
Fuga (grupa 1);3L;prof. dr hab. Krystian Kiełb;2;zst;egz;2;2;2;2;4;I;KiTM;wtorek, 14:00-15:30, sala 203B;Polifonia XX i XXI wieku
Fuga (grupa 2);3L;prof. dr hab. Krystian Kiełb;2;zst;egz;2;2;2;2;4;I;KiTM;wtorek, 15:45-17:15, sala 203B;Polifonia XX i XXI wieku
Harmonia XX i XXI wieku (grupa 1);2L;dr hab. Adam Porębski;2;zst;zst;2;2;2;2;4;I;KiTM;wtorek, 10:35-12:05, sala 002E;rekomendowane ukończenie kursu Harmonia systemu funkcyjnego (na roku 1)
Harmonia XX i XXI wieku (grupa 2);2L;dr hab. Adam Porębski;2;zst;zst;2;2;2;2;4;I;KiTM;wtorek, 12:15-13:45, sala 002E;j.w.
Harmonia systemu funkcyjnego (grupa 1);1L;dr Katarzyna Dziewiątkowska;3;zst;zst;2;2;2;2;4;I;KiTM;poniedziałek,10:25-11:55, sala 203B;
Harmonia systemu funkcyjnego (grupa 2);1L;dr Katarzyna Dziewiątkowska;3;zst;zst;2;2;2;2;4;I;KiTM;poniedziałek,12:10-13:40, sala 203B;
Historia i literatura muzyki elektroakustycznej;3L;dr Marta Śniady;3;zst;egz;2;2;2;2;4;I;KiTM;środa, 17:50-19:20, sala 301B;
Historia muzyki 1;1L;dr Miłosz Kula;20;zst;zst;2;2;2;2;4;I;KiTM;poniedziałek, 08:50-10:20, sala 001E; Od starożytności do XVIII w.
Historia muzyki 2;2L;dr hab. Tomasz Kienik;8;zst;egz;2;2;2;2;4;I;KiTM;poniedziałek, 10:25-11:55, sala 301B; Od klasycyzmu do XX w.
Historia muzyki teatralnej i filmowej;1M;dr Katarzyna Dziewiątkowska;15;zal;zst;2;2;2;2;4;I;KiTM;wtorek, 09:00-12:00, sala 301B,  realizacja w podwójnym wymiarze godzin w ustalonych przez prowadzącego terminach;
Historia śląskiej kultury muzycznej;3L;dr Miłosz Kula;15;zst;egz;1;1;1;1;2;I;KiTM;poniedziałek, 12:50-13:35, sala 001E;
Historia teorii muzyki (wykład);1M;dr hab. Tomasz Kienik;4;zst;egz;1;1;1;1;2;I;KiTM;poniedziałek, 12:00-13:30, sala 217A, realizacja w podwójnym wymiarze godzin w ustalonych przez prowadzącego terminach;
